serial,firstoccurrence,lastoccurrence,deletedat,zprocessstate,zticketstate,zhnotifystate,zgenericactionstate,originalseverity,mins,zprocessstate_t,zhnotifystate_t,zgenericactionstate_t,zticketstate_t,live_range,Cluster,zprocessstate_s,zhnotifystate_s,zgenericactionstate_s,zticketstate_s,ProblematicArea
65875092,2020-07-26-14.21.20.000000,2020-07-26 14:21:20.000,2020-07-26 18:23:48.646,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875178,2020-07-26-14.32.15.000000,2020-07-26 14:35:52.000,2020-07-26 14:54:46.230,22.0,11,11,312,4,18.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,Less than 30 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875214,2020-07-26-14.35.11.000000,2020-07-27 14:57:31.000,2020-07-27 15:01:07.460,2.0,3,5,312,4,3.0,AutomationFilter Processed,Failed,Final Response Successfully ESCALATED,Completed Successfully,Less than 30 mins,1,neutral,negative,Positive,Positive,ne-notification:n-enrichment:
65875223,2020-07-26-14.37.18.000000,2020-07-26 14:37:18.000,2020-07-26 21:07:51.240,22.0,1,5,312,4,390.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Needed,240 - 480 mins,3,negative,negative,Positive,neutral,n-autoticket:ne-notification:ne-enrichment:
65875285,2020-07-26-14.42.47.000000,2020-07-26 14:42:47.000,2020-07-26 18:45:49.061,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875476,2020-07-26-15.02.10.000000,2020-07-26 18:21:32.000,2020-07-26 18:25:48.785,22.0,1,5,312,4,4.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Needed,Less than 30 mins,3,negative,negative,Positive,neutral,n-autoticket:ne-notification:ne-enrichment:
65875496,2020-07-26-15.04.27.000000,2020-07-27 15:29:04.000,2020-07-27 15:31:07.999,2.0,3,5,312,4,2.0,AutomationFilter Processed,Failed,Final Response Successfully ESCALATED,Completed Successfully,Less than 30 mins,1,neutral,negative,Positive,Positive,ne-notification:n-enrichment:
65875619,2020-07-26-15.20.03.000000,2020-07-26 15:20:03.000,2020-07-26 19:22:49.686,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875627,2020-07-26-15.23.08.000000,2020-07-26 15:23:08.000,2020-07-26 21:07:51.239,22.0,1,5,312,4,344.0,Ticket or Notifications Actions Failed,Failed,Final Response Successfully ESCALATED,Needed,240 - 480 mins,3,negative,negative,Positive,neutral,n-autoticket:ne-notification:ne-enrichment:
65875641,2020-07-26-15.23.46.000000,2020-07-26 15:23:46.000,2020-07-26 19:26:49.872,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875715,2020-07-26-15.32.47.000000,2020-07-26 15:32:47.000,2020-07-26 19:35:50.022,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875814,2020-07-26-15.43.46.000000,2020-07-26 15:43:46.000,2020-07-26 19:46:50.121,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875907,2020-07-26-15.58.39.000000,2020-07-26 15:58:39.000,2020-07-26 20:01:50.273,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875913,2020-07-26-15.58.39.000000,2020-07-26 15:58:39.000,2020-07-26 20:01:50.273,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875909,2020-07-26-15.58.39.000000,2020-07-26 15:58:39.000,2020-07-26 20:01:50.273,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875910,2020-07-26-15.58.39.000000,2020-07-26 15:58:39.000,2020-07-26 20:01:50.273,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875908,2020-07-26-15.58.39.000000,2020-07-26 15:58:39.000,2020-07-26 20:01:50.267,22.0,11,11,312,4,243.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65875963,2020-07-26-16.04.08.000000,2020-07-26 16:04:08.000,2020-07-26 18:06:48.589,22.0,11,11,312,4,122.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,120 - 240 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65876129,2020-07-26-16.24.14.000000,2020-07-26 16:24:14.000,2020-07-26 20:26:50.818,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65876493,2020-07-26-17.10.03.000000,2020-07-26 17:10:03.000,2020-07-26 21:12:51.510,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65876889,2020-07-26-18.03.38.000000,2020-07-26 18:03:38.000,2020-07-26 22:05:52.256,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65877025,2020-07-26-18.18.38.000000,2020-07-26 18:18:38.000,2020-07-26 22:20:52.565,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65877063,2020-07-26-18.24.13.000000,2020-07-26 18:24:13.000,2020-07-26 22:26:52.581,22.0,11,11,312,4,242.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,240 - 480 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
65877148,2020-07-26-18.34.08.000000,2020-07-26 18:34:08.000,2020-07-26 20:36:50.814,22.0,11,11,312,4,122.0,Ticket or Notifications Actions Failed,Successfully Completed Final,Final Response Successfully ESCALATED,Successfully Completed Final,120 - 240 mins,0,negative,Positive,Positive,Positive,ne-enrichment:
