serial,firstoccurrence,lastoccurrence,deletedat,zprocessstate,zticketstate,zhnotifystate,zgenericactionstate,originalseverity,mins,zprocessstate_t,zhnotifystate_t,zgenericactionstate_t,zticketstate_t,live_range,Cluster,zprocessstate_s,zhnotifystate_s,zgenericactionstate_s,zticketstate_s,ProblematicArea
65875438,2020-07-26-14.58.22.000000,2020-07-26 20:38:22.000,2020-07-26 21:43:51.922,12.0,1,0,32,4,65.0,AllActions Completed successfully,None,A Remediation is INPROGRESS,Needed,60-120 mins,-1,Positive,neutral,neutral,neutral,n-autoticket:n-autoresolution:n-notification:
65876740,2020-07-26-17.42.56.000000,2020-07-26 17:42:56.000,2020-07-26 17:45:48.361,2.0,11,1,312,4,2.0,AutomationFilter Processed,Required,Final Response Successfully ESCALATED,Successfully Completed Final,Less than 30 mins,6,neutral,neutral,Positive,Positive,n-notification:n-enrichment:
65876741,2020-07-26-17.42.56.000000,2020-07-26 17:42:56.000,2020-07-26 17:45:48.361,2.0,11,1,312,4,2.0,AutomationFilter Processed,Required,Final Response Successfully ESCALATED,Successfully Completed Final,Less than 30 mins,6,neutral,neutral,Positive,Positive,n-notification:n-enrichment:
65877540,2020-07-26-19.23.23.000000,2020-07-26 19:23:23.000,2020-07-27 16:56:09.189,12.0,1,0,312,3,1292.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,960 - 1920 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65877541,2020-07-26-19.23.23.000000,2020-07-26 19:23:23.000,2020-07-27 16:57:09.268,12.0,1,0,312,3,1293.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,960 - 1920 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65878021,2020-07-26-20.18.46.000000,2020-07-26 20:18:46.000,2020-07-26 20:26:50.817,2.0,11,6,311,4,8.0,AutomationFilter Processed,SheduledWait ZHNotifyTime to expire,Final Response Successfully RESOLVED,Successfully Completed Final,Less than 30 mins,10,neutral,neutral,Positive,Positive,n-notification:n-enrichment:
65878451,2020-07-26-21.03.20.000000,2020-07-26 21:03:20.000,2020-07-27 11:37:03.972,12.0,1,0,312,3,873.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,480 - 960 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65878772,2020-07-26-21.40.20.000000,2020-07-26 21:40:20.000,2020-07-26 23:02:53.232,12.0,1,0,33,4,82.0,AllActions Completed successfully,None,A Remediation has been accepted,Needed,60-120 mins,11,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879276,2020-07-26-22.38.50.000000,2020-07-26 22:38:50.000,2020-07-27 00:55:54.371,12.0,1,0,312,4,137.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879277,2020-07-26-22.38.50.000000,2020-07-26 22:38:50.000,2020-07-27 00:55:54.372,12.0,1,0,312,4,137.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879278,2020-07-26-22.38.50.000000,2020-07-26 22:38:50.000,2020-07-26 23:42:53.727,12.0,1,0,312,4,64.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,60-120 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879279,2020-07-26-22.38.50.000000,2020-07-26 22:38:50.000,2020-07-27 00:55:54.370,12.0,1,0,312,4,137.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879328,2020-07-26-22.43.50.000000,2020-07-26 22:43:50.000,2020-07-27 00:55:54.371,12.0,1,0,312,4,132.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879319,2020-07-26-22.43.18.000000,2020-07-26 22:43:18.000,2020-07-27 00:55:54.371,12.0,1,0,312,4,132.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879329,2020-07-26-22.43.50.000000,2020-07-26 22:43:50.000,2020-07-27 00:55:54.371,12.0,1,0,312,4,132.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879330,2020-07-26-22.43.50.000000,2020-07-26 22:43:50.000,2020-07-27 00:55:54.372,12.0,1,0,312,4,132.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
65879331,2020-07-26-22.43.52.000000,2020-07-26 22:43:52.000,2020-07-27 00:55:54.371,12.0,1,0,312,4,132.0,AllActions Completed successfully,None,Final Response Successfully ESCALATED,Needed,120 - 240 mins,9,Positive,neutral,Positive,neutral,n-autoticket:n-notification:
